horizon,target,model,uses_covariates,n_covariates,covariates,predictor_id,mean_crps,n_scores,n_predictions,skipped_origins,dir_precision_up,dir_recall_up,dir_f1_up,dir_accuracy,dir_roc_auc_prob_up,dir_n_eval
1,sp500_logret_1b,agent_predictor_sp500_analyst_code_claude-sonnet-4-6_continuous,False,0,—,agent_predictor_sp500_analyst_code_claude-sonnet-4-6_continuous,0.002240207259676861,3,3,0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,3
1,sp500_logret_1b,llmp_quantile_grid_sp500_ws[gemini-3.5-flash],False,0,—,llmp_quantile_grid_sp500_ws[gemini-3.5-flash],0.0022611805659059894,3,3,0,0.0,0.0,0.0,0.0,0.0,3
1,sp500_logret_1b,llmp_quantile_grid_sp500_ws[gemini-3.1-flash-lite-preview],False,0,—,llmp_quantile_grid_sp500_ws[gemini-3.1-flash-lite-preview],0.002274403706401857,3,3,0,0.0,0.0,0.0,0.6666666666666666,0.5,3
1,sp500_logret_1b,agent_predictor_sp500_analyst_code_gemini-3.5-flash_continuous,False,0,—,agent_predictor_sp500_analyst_code_gemini-3.5-flash_continuous,0.0022916520599069005,3,3,0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,3
1,sp500_logret_1b,llmp_quantile_grid_sp500_ws_cov[gpt-5.4],True,10,"vix_level_l1b, vix_log_ret_1b_l1b, ust10y_level_l1b, ust2y10y_spread_l1b, fed_funds_level_l1b, cpi_mom_logdiff_l1b, unemployment_rate_l1b, oil_log_ret_1b_l1b, dollar_index_log_ret_1b_l1b, nasdaq_log_ret_1b_l1b",llmp_quantile_grid_sp500_ws_cov[gpt-5.4],0.0024636067087126733,3,3,0,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,3
1,sp500_logret_1b,llmp_quantile_grid_sp500_ws_cov[gemini-3.1-flash-lite-preview],True,10,"vix_level_l1b, vix_log_ret_1b_l1b, ust10y_level_l1b, ust2y10y_spread_l1b, fed_funds_level_l1b, cpi_mom_logdiff_l1b, unemployment_rate_l1b, oil_log_ret_1b_l1b, dollar_index_log_ret_1b_l1b, nasdaq_log_ret_1b_l1b",llmp_quantile_grid_sp500_ws_cov[gemini-3.1-flash-lite-preview],0.00258077200728559,3,3,0,1.0,1.0,1.0,1.0,1.0,3
1,sp500_logret_1b,agent_predictor_sp500_analyst_news_claude-sonnet-4-6_continuous,False,0,—,agent_predictor_sp500_analyst_news_claude-sonnet-4-6_continuous,0.002601463824229854,3,3,0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,3
1,sp500_logret_1b,agent_predictor_sp500_analyst_news_gemini-3.5-flash_continuous,False,0,—,agent_predictor_sp500_analyst_news_gemini-3.5-flash_continuous,0.00264515528428495,3,3,0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,3
1,sp500_logret_1b,llmp_quantile_grid_sp500_ws[gpt-5.4],False,0,—,llmp_quantile_grid_sp500_ws[gpt-5.4],0.0027226130727930416,3,3,0,0.0,0.0,0.0,0.3333333333333333,0.25,3
1,sp500_logret_1b,llmp_quantile_grid_sp500_ws[claude-sonnet-4-6],False,0,—,llmp_quantile_grid_sp500_ws[claude-sonnet-4-6],0.002751730318765655,3,3,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,3
